추가 엣지 총 468개

sibling:Marketing_Strategy | Brand_Management                              → B2B_Marketing_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Strategic_Investment                          → New_Business_Development (similar_to, 0.75)
sibling:Corporate_Strategy | Strategic_Investment                          → Digital_Transformation_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Strategic_Investment                          → Joint_Venture_Establishment (similar_to, 0.75)
sibling:Corporate_Strategy | Strategic_Investment                          → IPO_Preparation_and_Execution (similar_to, 0.75)
sibling:Corporate_Strategy | Strategic_Investment                          → Corporate_M_and_A_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Strategic_Investment                          → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Corporate_Strategy | New_Business_Development                      → Digital_Transformation_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | New_Business_Development                      → Joint_Venture_Establishment (similar_to, 0.75)
sibling:Corporate_Strategy | New_Business_Development                      → CVC_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | New_Business_Development                      → IPO_Preparation_and_Execution (similar_to, 0.75)
sibling:Corporate_Strategy | New_Business_Development                      → Corporate_M_and_A_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | New_Business_Development                      → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Corporate_Strategy | Digital_Transformation_Strategy               → Joint_Venture_Establishment (similar_to, 0.75)
sibling:Corporate_Strategy | Digital_Transformation_Strategy               → CVC_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Digital_Transformation_Strategy               → IPO_Preparation_and_Execution (similar_to, 0.75)
sibling:Corporate_Strategy | Digital_Transformation_Strategy               → Corporate_M_and_A_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Digital_Transformation_Strategy               → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Corporate_Strategy | Joint_Venture_Establishment                   → CVC_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Joint_Venture_Establishment                   → IPO_Preparation_and_Execution (similar_to, 0.75)
sibling:Corporate_Strategy | Joint_Venture_Establishment                   → Corporate_M_and_A_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | Joint_Venture_Establishment                   → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Corporate_Strategy | CVC_Strategy                                  → IPO_Preparation_and_Execution (similar_to, 0.75)
sibling:Corporate_Strategy | CVC_Strategy                                  → Corporate_M_and_A_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | CVC_Strategy                                  → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Corporate_Strategy | IPO_Preparation_and_Execution                 → Corporate_M_and_A_Strategy (similar_to, 0.75)
sibling:Corporate_Strategy | IPO_Preparation_and_Execution                 → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Corporate_Strategy | Corporate_M_and_A_Strategy                    → Corporate_Strategic_Planning (similar_to, 0.75)
sibling:Mobility_Platform | Autonomous_Mobility_Service                   → Smart_City_and_MaaS_Architecture (similar_to, 0.75)
sibling:Mobility_Platform | MaaS                                          → Smart_City_and_MaaS_Architecture (similar_to, 0.75)
sibling:E_Commerce_Platform | O2O_Marketplace                               → Payment_and_Settlement_System (similar_to, 0.75)
sibling:Finance_Core | Corporate_Accounting                          → Tax_Accounting (similar_to, 0.75)
sibling:Finance_Leadership | CFO_Role                                      → Chief_Compliance_Officer (similar_to, 0.85)
sibling:Finance_Leadership | CFO_Role                                      → Chief_Financial_Officer (similar_to, 0.85)
sibling:Finance_Leadership | CFO_Role                                      → Corporate_Governance (similar_to, 0.85)
sibling:Finance_Leadership | Chief_Compliance_Officer                      → Chief_Financial_Officer (similar_to, 0.85)
sibling:Finance_Leadership | Chief_Compliance_Officer                      → Corporate_Governance (similar_to, 0.85)
sibling:Finance_Leadership | Chief_Financial_Officer                       → Corporate_Governance (similar_to, 0.85)
sibling:Digital_Marketing | Growth_Marketing                              → Conversion_Rate_Optimization (similar_to, 0.75)
sibling:Digital_Marketing | Growth_Marketing                              → Content_Marketing_Strategy (similar_to, 0.75)
sibling:Digital_Marketing | Growth_Marketing                              → Growth_Hacking_and_Marketing (similar_to, 0.75)
sibling:Digital_Marketing | Growth_Marketing                              → Performance_Marketing_and_Tracking (similar_to, 0.75)
sibling:Digital_Marketing | Growth_Marketing                              → Performance_Marketing_and_Optimization (similar_to, 0.75)
sibling:Digital_Marketing | Conversion_Rate_Optimization                  → Performance_Marketing (similar_to, 0.75)
sibling:Digital_Marketing | Conversion_Rate_Optimization                  → Content_Marketing_Strategy (similar_to, 0.75)
sibling:Digital_Marketing | Conversion_Rate_Optimization                  → Growth_Hacking_and_Marketing (similar_to, 0.75)
sibling:Digital_Marketing | Conversion_Rate_Optimization                  → Performance_Marketing_and_Tracking (similar_to, 0.75)
sibling:Digital_Marketing | Conversion_Rate_Optimization                  → Performance_Marketing_and_Optimization (similar_to, 0.75)
sibling:Digital_Marketing | Performance_Marketing                         → Content_Marketing_Strategy (similar_to, 0.75)
sibling:Digital_Marketing | Performance_Marketing                         → Growth_Hacking_and_Marketing (similar_to, 0.75)
sibling:Digital_Marketing | Performance_Marketing                         → Performance_Marketing_and_Tracking (similar_to, 0.75)
sibling:Digital_Marketing | Performance_Marketing                         → Performance_Marketing_and_Optimization (similar_to, 0.75)
sibling:Digital_Marketing | Content_Marketing_Strategy                    → Growth_Hacking_and_Marketing (similar_to, 0.75)
sibling:Digital_Marketing | Content_Marketing_Strategy                    → Performance_Marketing_and_Tracking (similar_to, 0.75)
sibling:Digital_Marketing | Content_Marketing_Strategy                    → Performance_Marketing_and_Optimization (similar_to, 0.75)
sibling:Digital_Marketing | Growth_Hacking_and_Marketing                  → Performance_Marketing_and_Tracking (similar_to, 0.75)
sibling:Digital_Marketing | Growth_Hacking_and_Marketing                  → Performance_Marketing_and_Optimization (similar_to, 0.75)
sibling:Digital_Marketing | Performance_Marketing_and_Tracking            → Performance_Marketing_and_Optimization (similar_to, 0.75)
sibling:Marketing_Core | CRM_Marketing                                 → Product_Marketing (similar_to, 0.75)
sibling:Marketing_Core | CRM_Marketing                                 → IMC (similar_to, 0.75)
sibling:Marketing_Core | CRM_Marketing                                 → Data_Driven_Marketing (similar_to, 0.75)
sibling:Marketing_Core | Product_Marketing                             → IMC (similar_to, 0.75)
sibling:Marketing_Core | Product_Marketing                             → Data_Driven_Marketing (similar_to, 0.75)
sibling:Marketing_Core | IMC                                           → Data_Driven_Marketing (similar_to, 0.75)
sibling:Business_Development | Global_Business_Development                   → Product_Manager (similar_to, 0.75)
sibling:Business_Development | Global_Business_Development                   → New_Biz_Incubation (similar_to, 0.75)
sibling:Business_Development | Global_Business_Development                   → Digital_Finance_Business_Development (similar_to, 0.75)
sibling:Business_Development | Global_Business_Development                   → Space_and_Theme_Park_Planning (similar_to, 0.75)
sibling:Business_Development | Global_Business_Development                   → Global_Sales_and_Marketing (similar_to, 0.75)
sibling:Business_Development | Strategic_Partnership                         → Product_Manager (similar_to, 0.75)
sibling:Business_Development | Strategic_Partnership                         → New_Biz_Incubation (similar_to, 0.75)
sibling:Business_Development | Strategic_Partnership                         → Digital_Finance_Business_Development (similar_to, 0.75)
sibling:Business_Development | Strategic_Partnership                         → Space_and_Theme_Park_Planning (similar_to, 0.75)
sibling:Business_Development | Strategic_Partnership                         → Global_Sales_and_Marketing (similar_to, 0.75)
sibling:Business_Development | Product_Manager                               → New_Biz_Incubation (similar_to, 0.75)
sibling:Business_Development | Product_Manager                               → Digital_Finance_Business_Development (similar_to, 0.75)
sibling:Business_Development | Product_Manager                               → Space_and_Theme_Park_Planning (similar_to, 0.75)
sibling:Business_Development | Product_Manager                               → Global_Sales_and_Marketing (similar_to, 0.75)
sibling:Business_Development | New_Biz_Incubation                            → Digital_Finance_Business_Development (similar_to, 0.75)
sibling:Business_Development | New_Biz_Incubation                            → Space_and_Theme_Park_Planning (similar_to, 0.75)
sibling:Business_Development | New_Biz_Incubation                            → Global_Sales_and_Marketing (similar_to, 0.75)
sibling:Business_Development | Digital_Finance_Business_Development          → Space_and_Theme_Park_Planning (similar_to, 0.75)
sibling:Business_Development | Digital_Finance_Business_Development          → Global_Sales_and_Marketing (similar_to, 0.75)
sibling:Business_Development | Space_and_Theme_Park_Planning                 → Global_Sales_and_Marketing (similar_to, 0.75)
sibling:System_Engineering | Open_Source_Engineering                       → Infrastructure_Management (similar_to, 0.75)
sibling:System_Engineering | Open_Source_Engineering                       → Robotics_and_Equipment_Control (similar_to, 0.75)
sibling:System_Engineering | Infrastructure_Management                     → Robotics_and_Equipment_Control (similar_to, 0.75)
sibling:Infrastructure_Management | Monitoring_System                             → Log_Management (similar_to, 0.75)
sibling:Cloud_Infrastructure | Kubernetes                                    → DevOps_Environment (similar_to, 0.75)
sibling:Cloud_Infrastructure | Kubernetes                                    → AI_Cloud_Platform (similar_to, 0.75)
sibling:Cloud_Infrastructure | DevOps_Environment                            → AI_Cloud_Platform (similar_to, 0.75)
sibling:DevOps       | IaC                                           → Network_Automation (similar_to, 0.75)
sibling:DevOps       | IaC                                           → Job_Scheduling_and_Automation (similar_to, 0.75)
sibling:DevOps       | Network_Automation                            → Job_Scheduling_and_Automation (similar_to, 0.75)
sibling:Hardware_Interface | PCIe_Protocol                                 → PCIe_and_High_Speed_Interface (similar_to, 0.75)
sibling:Corporate_Security | Information_Security_Compliance               → IT_Audit_and_Compliance (similar_to, 0.75)
sibling:Information_Security_Compliance | Security_Certification                        → Cloud_Security_Certification (similar_to, 0.75)
sibling:Product_Service_Planning | O2O_Service_Planning                          → Customer_Experience_Strategy (similar_to, 0.75)
sibling:Embedded_Software | Network_Protocol_Stack                        → Algorithm_Optimization (similar_to, 0.75)
sibling:Embedded_Software | Network_Protocol_Stack                        → Sensor_Software_Engineering (similar_to, 0.75)
sibling:Embedded_Software | Algorithm_Optimization                        → Sensor_Software_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → Backend_Platform_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → Application_Development (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → Game_Client_Development (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → 3D_Simulation_and_Viewer_Development (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → Enterprise_Web_System_Integration (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → Game_Client_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Performance_Optimization                      → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Software_Engineering | Backend_Platform_Engineering                  → Application_Development (similar_to, 0.75)
sibling:Software_Engineering | Backend_Platform_Engineering                  → Game_Client_Development (similar_to, 0.75)
sibling:Software_Engineering | Backend_Platform_Engineering                  → 3D_Simulation_and_Viewer_Development (similar_to, 0.75)
sibling:Software_Engineering | Backend_Platform_Engineering                  → Enterprise_Web_System_Integration (similar_to, 0.75)
sibling:Software_Engineering | Backend_Platform_Engineering                  → Game_Client_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Backend_Platform_Engineering                  → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Software_Engineering | Application_Development                       → Game_Client_Development (similar_to, 0.75)
sibling:Software_Engineering | Application_Development                       → 3D_Simulation_and_Viewer_Development (similar_to, 0.75)
sibling:Software_Engineering | Application_Development                       → Enterprise_Web_System_Integration (similar_to, 0.75)
sibling:Software_Engineering | Application_Development                       → Game_Client_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Application_Development                       → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Software_Engineering | Game_Client_Development                       → 3D_Simulation_and_Viewer_Development (similar_to, 0.75)
sibling:Software_Engineering | Game_Client_Development                       → Enterprise_Web_System_Integration (similar_to, 0.75)
sibling:Software_Engineering | Game_Client_Development                       → Game_Client_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Game_Client_Development                       → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Software_Engineering | 3D_Simulation_and_Viewer_Development          → Enterprise_Web_System_Integration (similar_to, 0.75)
sibling:Software_Engineering | 3D_Simulation_and_Viewer_Development          → Game_Client_Engineering (similar_to, 0.75)
sibling:Software_Engineering | 3D_Simulation_and_Viewer_Development          → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Software_Engineering | Enterprise_Web_System_Integration             → Game_Client_Engineering (similar_to, 0.75)
sibling:Software_Engineering | Enterprise_Web_System_Integration             → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Software_Engineering | Game_Client_Engineering                       → Modern_Frontend_Architecture (similar_to, 0.75)
sibling:Executive_Leadership | Corporate_Strategy                            → B2B_Business_Management (similar_to, 0.75)
sibling:Executive_Leadership | Corporate_Strategy                            → Design_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Corporate_Strategy                            → Chief_Financial_Officer (similar_to, 0.75)
sibling:Executive_Leadership | Corporate_Strategy                            → Marketing_Leadership (similar_to, 0.75)
